Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jan 6, 2022",172.70,175.30,171.64,172.00,169.04,"96,904,000"
"Jan 5, 2022",179.61,180.17,174.64,174.92,171.91,"94,537,600"
"Jan 4, 2022",182.63,182.94,179.12,179.70,176.61,"99,310,400"
"Jan 3, 2022",177.83,182.88,177.71,182.01,178.88,"104,487,900"
"Dec 31, 2021",178.09,179.23,177.26,177.57,174.52,"64,062,300"
"Dec 30, 2021",179.47,180.57,178.09,178.20,175.14,"59,773,000"
"Dec 29, 2021",179.33,180.63,178.14,179.38,176.30,"62,348,900"
"Dec 28, 2021",180.16,181.33,178.53,179.29,176.21,"79,144,300"
"Dec 27, 2021",177.09,180.42,177.07,180.33,177.23,"74,919,600"
"Dec 23, 2021",175.85,176.85,175.27,176.28,173.25,"68,356,600"
"Dec 22, 2021",173.04,175.86,172.15,175.64,172.62,"92,135,300"
"Dec 21, 2021",171.56,173.20,169.12,172.99,170.02,"91,185,900"
"Dec 20, 2021",168.28,170.58,167.46,169.75,166.83,"107,499,100"
"Dec 17, 2021",169.93,173.47,169.69,171.14,168.20,"195,432,700"
"Dec 16, 2021",179.28,181.14,170.75,172.26,169.30,"150,185,800"
"Dec 15, 2021",175.11,179.50,172.31,179.30,176.22,"131,063,300"
"Dec 14, 2021",175.25,177.74,172.21,174.33,171.33,"139,380,400"
"Dec 13, 2021",181.12,182.13,175.53,175.74,172.72,"153,237,000"
"Dec 10, 2021",175.21,179.63,174.69,179.45,176.36,"115,402,700"
"Dec 9, 2021",174.91,176.75,173.92,174.56,171.56,"108,923,700"
"Dec 8, 2021",172.13,175.96,170.70,175.08,172.07,"116,998,900"
"Dec 7, 2021",169.08,171.58,168.34,171.18,168.24,"120,405,400"
"Dec 6, 2021",164.29,167.88,164.28,165.32,162.48,"107,497,000"
"Dec 3, 2021",164.02,164.96,159.72,161.84,159.06,"118,023,100"
"Dec 2, 2021",158.74,164.20,157.80,163.76,160.94,"136,739,200"
"Dec 1, 2021",167.48,170.30,164.53,164.77,161.94,"152,052,500"
"Nov 30, 2021",159.99,165.52,159.92,165.30,162.46,"174,048,100"
"Nov 29, 2021",159.37,161.19,158.79,160.24,157.48,"88,748,200"
"Nov 26, 2021",159.57,160.45,156.36,156.81,154.11,"76,959,800"
"Nov 24, 2021",160.75,162.14,159.64,161.94,159.16,"69,463,600"
"Nov 23, 2021",161.12,161.80,159.06,161.41,158.63,"96,041,900"
"Nov 22, 2021",161.68,165.70,161.00,161.02,158.25,"117,467,900"
"Nov 19, 2021",157.65,161.02,156.53,160.55,157.79,"117,305,600"
"Nov 18, 2021",153.71,158.67,153.05,157.87,155.16,"137,827,700"
"Nov 17, 2021",151.00,155.00,150.99,153.49,150.85,"88,807,000"
"Nov 16, 2021",149.94,151.49,149.34,151.00,148.40,"59,256,200"
"Nov 15, 2021",150.37,151.88,149.43,150.00,147.42,"59,222,800"
"Nov 12, 2021",148.43,150.40,147.48,149.99,147.41,"63,804,000"
"Nov 11, 2021",148.96,149.43,147.68,147.87,145.33,"41,000,000"
"Nov 10, 2021",150.02,150.13,147.85,147.92,145.38,"65,187,100"
"Nov 9, 2021",150.20,151.43,150.06,150.81,148.22,"56,787,900"
"Nov 8, 2021",151.41,151.57,150.16,150.44,147.85,"55,020,900"
"Nov 5, 2021",0.22Dividend
"Nov 5, 2021",151.89,152.20,150.06,151.28,148.68,"65,463,900"
"Nov 4, 2021",151.58,152.43,150.64,150.96,148.15,"60,394,600"
"Nov 3, 2021",150.39,151.97,149.82,151.49,148.67,"54,511,500"
"Nov 2, 2021",148.66,151.57,148.65,150.02,147.23,"69,122,000"
"Nov 1, 2021",148.99,149.70,147.80,148.96,146.18,"74,588,300"
"Oct 29, 2021",147.22,149.94,146.41,149.80,147.01,"124,953,200"
"Oct 28, 2021",149.82,153.17,149.72,152.57,149.73,"100,077,900"
"Oct 27, 2021",149.36,149.73,148.49,148.85,146.08,"56,094,900"
"Oct 26, 2021",149.33,150.84,149.01,149.32,146.54,"60,893,400"
"Oct 25, 2021",148.68,149.37,147.62,148.64,145.87,"50,720,600"
"Oct 22, 2021",149.69,150.18,148.64,148.69,145.92,"58,883,400"
"Oct 21, 2021",148.81,149.64,147.87,149.48,146.70,"61,421,000"
"Oct 20, 2021",148.70,149.75,148.12,149.26,146.48,"58,418,800"
"Oct 19, 2021",147.01,149.17,146.55,148.76,145.99,"76,378,900"
"Oct 18, 2021",143.45,146.84,143.16,146.55,143.82,"85,589,200"
"Oct 15, 2021",143.77,144.90,143.51,144.84,142.14,"67,940,300"
"Oct 14, 2021",142.11,143.88,141.51,143.76,141.08,"69,907,100"
"Oct 13, 2021",141.24,141.40,139.20,140.91,138.28,"78,762,700"
"Oct 12, 2021",143.23,143.25,141.04,141.51,138.87,"73,035,900"
"Oct 11, 2021",142.27,144.81,141.81,142.81,140.15,"64,452,200"
"Oct 8, 2021",144.03,144.18,142.56,142.90,140.24,"58,773,200"
"Oct 7, 2021",143.06,144.22,142.72,143.29,140.62,"61,732,700"
"Oct 6, 2021",139.47,142.15,138.37,142.00,139.35,"83,221,100"
"Oct 5, 2021",139.49,142.24,139.36,141.11,138.48,"80,861,100"
"Oct 4, 2021",141.76,142.21,138.27,139.14,136.55,"98,322,000"
"Oct 1, 2021",141.90,142.92,139.11,142.65,139.99,"94,639,600"
"Sep 30, 2021",143.66,144.38,141.28,141.50,138.86,"89,056,700"
"Sep 29, 2021",142.47,144.45,142.03,142.83,140.17,"74,602,000"
"Sep 28, 2021",143.25,144.75,141.69,141.91,139.27,"108,972,300"
"Sep 27, 2021",145.47,145.96,143.82,145.37,142.66,"74,150,700"
"Sep 24, 2021",145.66,147.47,145.56,146.92,144.18,"53,477,900"
"Sep 23, 2021",146.65,147.08,145.64,146.83,144.09,"64,838,200"
